Topic,Count,Name,Top_Words
0,0,0_make_work_one_use,"make, work, one, use, know, run, like, get, also, time"
1,5,1_one_know_like_make,"one, know, like, make, get, use, say, time, think, well"
2,16,2_people_time_say_one,"people, time, say, one, god, think, like, many, even, make"
3,4,3_get_know_also_time,"get, know, also, time, like, one, make, law, say, new"
4,1,4_get_want_like_well,"get, want, like, well, know, think, thing, work, one, back"
5,60,5_game_team_wing_win,"game, team, wing, win, hockey, year, think, cup, good, one"
6,3,6_one_say_people_like,"one, say, people, like, know, think, time, make, get, well"
7,7,7_one_know_like_make,"one, know, like, make, use, get, well, good, may, send"
8,9,8_one_use_know_get,"one, use, know, get, like, also, much, well, people, many"
9,1,9_thanks_know_get_one,"thanks, know, get, one, like, use, well, say, post, think"
10,45,10_one_like_use_get,"one, like, use, get, think, well, please, make, may, know"
11,26,11_one_government_time_get,"one, government, time, get, use, make, know, people, like, also"
12,137,12_one_god_people_christ,"one, god, people, christ, bible, know, jesus, say, even, make"
13,8,13_use_one_also_know,"use, one, also, know, good, like, get, shuttle, year, well"
14,1,14_one_use_year_know,"one, use, year, know, time, think, also, new, space, thing"
15,8,15_get_like_well_one,"get, like, well, one, think, use, know, time, make, say"
16,33,16_apple_like_know_use,"apple, like, know, use, one, get, think, problem, also, work"
17,0,17_know_say_think_people,"know, say, think, people, like, time, much, get, take, try"
18,0,18_one_use_know_get,"one, use, know, get, make, like, good, also, say, much"
19,1,19_one_people_say_god,"one, people, say, god, think, mean, make, know, jesus, see"
20,2,20_say_use_people_know,"say, use, people, know, make, one, think, like, also, thing"
21,8,21_say_get_legal_people,"say, get, legal, people, one, like, think, illegal, make, government"
22,7,22_one_know_like_get,"one, know, like, get, use, well, good, make, please, time"
23,7,23_team_game_well_year,"team, game, well, year, season, last, good, win, one, think"
24,14,24_one_get_good_know,"one, get, good, know, well, thanks, much, say, think, please"
25,3,25_use_window_work_system,"use, window, work, system, get, thanks, run, know, one, problem"
26,0,26_one_time_get_game,"one, time, get, game, team, year, know, also, like, make"
27,0,27_get_know_well_one,"get, know, well, one, like, also, need, time, think, use"
28,1,28_one_make_like_say,"one, make, like, say, people, think, know, get, well, time"
29,38,29_gun_one_get_people,"gun, one, get, people, use, say, time, handgun, make, way"
30,1,30_one_use_know_get,"one, use, know, get, make, like, also, well, think, time"
31,41,31_israeli_one_say_israel,"israeli, one, say, israel, like, people, think, jewish, way, time"
32,26,32_please_get_time_want,"please, get, time, want, thanks, know, letter, one, like, people"
33,22,33_know_people_get_treatment,"know, people, get, treatment, find, time, good, think, one, well"
34,1,34_one_make_think_people,"one, make, think, people, like, time, well, get, even, say"
35,20,35_use_window_like_get,"use, window, like, get, know, thanks, one, run, file, please"
36,22,36_price_sell_one_get,"price, sell, one, get, ship, like, please, also, interested, use"
37,0,37_chip_work_one_use,"chip, work, one, use, get, know, need, board, also, data"
