Topic,Count,Name,Top_Words
0,11,0_get_one_use_know,"get, one, use, know, like, thanks, please, card, window, work"
1,26,1_one_get_know_like,"one, get, know, like, say, people, make, think, time, well"
2,110,2_one_god_christ_people,"one, god, christ, people, jesus, know, bible, say, mean, make"
3,11,3_get_know_one_game,"get, know, one, game, year, well, good, time, think, like"
4,142,4_one_know_use_get,"one, know, use, get, like, well, make, good, also, think"
5,12,5_know_one_like_use,"know, one, like, use, make, good, also, get, well, may"
6,31,6_one_say_like_people,"one, say, like, people, think, time, well, way, see, make"
7,20,7_one_get_know_like,"one, get, know, like, think, time, make, say, well, people"
8,97,8_game_team_well_season,"game, team, well, season, year, win, good, like, baseball, think"
9,6,9_use_one_get_like,"use, one, get, like, know, make, work, also, well, time"
10,52,10_one_know_say_make,"one, know, say, make, think, like, people, get, time, well"
11,65,11_one_use_also_know,"one, use, also, know, year, orbit, new, mission, space, spacecraft"
12,5,12_one_like_use_get,"one, like, use, get, think, well, please, make, may, know"
13,130,13_like_one_get_use,"like, one, get, use, know, think, make, thing, well, car"
14,11,14_one_say_god_know,"one, say, god, know, people, make, think, like, even, time"
15,11,15_use_know_one_get,"use, know, one, get, like, work, also, thanks, time, well"
16,27,16_one_know_say_get,"one, know, say, get, like, well, think, good, time, much"
17,61,17_one_get_gun_time,"one, get, gun, time, government, use, like, say, make, also"
18,35,18_know_like_get_think,"know, like, get, think, well, one, way, time, much, also"
19,97,19_one_use_know_like,"one, use, know, like, get, also, make, work, well, time"
20,35,20_one_get_make_know,"one, get, make, know, also, use, well, time, year, say"
21,0,21_get_know_one_like,"get, know, one, like, time, also, use, make, say, even"
22,178,22_use_work_know_one,"use, work, know, one, get, like, thanks, problem, also, card"
23,47,23_one_people_say_god,"one, people, say, god, think, time, even, know, well, thing"
24,24,24_people_think_say_know,"people, think, say, know, one, make, use, may, get, thing"
25,35,25_get_one_like_well,"get, one, like, well, think, know, use, time, make, say"
26,70,26_team_game_year_think,"team, game, year, think, win, season, one, well, good, get"
27,17,27_one_get_use_like,"one, get, use, like, know, well, time, also, think, good"
28,120,28_use_window_thanks_get,"use, window, thanks, get, run, work, know, like, file, one"
29,5,29_one_work_use_time,"one, work, use, time, well, like, thanks, software, know, get"
30,10,30_one_use_know_get,"one, use, know, get, also, time, year, need, well, thing"
31,56,31_one_people_get_say,"one, people, get, say, know, time, like, make, government, think"
32,6,32_get_know_like_one,"get, know, like, one, thanks, please, well, also, make, time"
33,29,33_price_one_use_sell,"price, one, use, sell, get, please, know, also, work, like"
34,41,34_get_know_time_one,"get, know, time, one, people, think, want, like, make, good"
35,1,35_one_think_people_make,"one, think, people, make, get, like, time, know, say, even"
36,47,36_people_one_make_like,"people, one, make, like, also, time, year, well, say, war"
37,7,37_one_people_make_think,"one, people, make, think, say, like, time, many, use, also"
38,31,38_know_one_use_think,"know, one, use, think, say, get, also, people, like, time"
39,14,39_one_know_use_well,"one, know, use, well, like, time, also, get, make, new"
40,30,40_use_like_one_know,"use, like, one, know, thanks, get, also, well, make, need"
41,0,41_problem_like_use_think,"problem, like, use, think, one, know, well, also, get, please"
42,53,42_use_get_know_one,"use, get, know, one, encryption, want, even, clipper, think, key"
43,11,43_one_say_think_people,"one, say, think, people, know, thing, make, time, even, well"
44,13,44_say_one_people_get,"say, one, people, get, make, like, government, know, law, also"
45,58,45_know_get_one_people,"know, get, one, people, also, say, make, well, time, like"
46,34,46_use_window_thanks_get,"use, window, thanks, get, like, know, work, one, run, please"
47,27,47_one_get_use_like,"one, get, use, like, know, good, make, well, also, think"
48,28,48_one_like_know_get,"one, like, know, get, well, make, time, good, say, year"
49,13,49_one_know_get_use,"one, know, get, use, like, please, time, good, thanks, also"
