Topic,Count,Name,Top_Words
0,0,0_make_work_one_use,"make, work, one, use, know, run, like, get, also, time"
1,2,1_one_know_get_make,"one, know, get, make, like, say, use, good, also, people"
2,20,2_people_time_say_one,"people, time, say, one, think, god, like, many, make, even"
3,1,3_get_know_also_time,"get, know, also, time, like, one, law, new, many, say"
4,1,4_know_get_like_well,"know, get, like, well, work, think, good, want, thing, bike"
5,57,5_game_team_hockey_wing,"game, team, hockey, wing, win, think, cup, year, one, get"
6,2,6_one_say_people_like,"one, say, people, like, time, know, think, make, get, well"
7,0,7_one_like_make_know,"one, like, make, know, get, good, time, look, much, people"
8,3,8_one_know_well_use,"one, know, well, use, like, get, make, think, good, year"
9,1,9_thanks_know_get_one,"thanks, know, get, one, like, use, well, post, say, think"
10,45,10_one_like_use_get,"one, like, use, get, please, well, think, make, may, know"
11,20,11_gun_use_time_one,"gun, use, time, one, get, government, know, make, people, even"
12,135,12_god_one_people_christ,"god, one, people, christ, know, bible, jesus, even, say, make"
13,10,13_use_one_also_know,"use, one, also, know, good, like, get, shuttle, year, well"
14,2,14_one_use_time_know,"one, use, time, know, year, also, think, thing, new, many"
15,9,15_get_like_well_think,"get, like, well, think, use, know, one, make, time, see"
16,36,16_apple_like_know_use,"apple, like, know, use, one, get, think, problem, also, work"
17,0,17_know_say_think_people,"know, say, think, people, like, time, much, try, take, way"
18,0,18_one_use_know_get,"one, use, know, get, make, like, good, also, say, much"
19,0,19_one_say_people_make,"one, say, people, make, mean, think, know, see, god, use"
20,1,20_use_people_like_know,"use, people, like, know, say, think, also, make, well, one"
21,10,21_say_get_legal_people,"say, get, legal, people, one, like, think, illegal, make, government"
22,2,22_one_use_get_like,"one, use, get, like, know, work, time, well, also, make"
23,8,23_game_team_well_season,"game, team, well, season, pitch, last, like, year, good, win"
24,4,24_one_get_good_well,"one, get, good, well, like, make, think, know, say, time"
25,3,25_use_window_work_system,"use, window, work, system, get, thanks, run, know, one, problem"
26,1,26_one_like_year_know,"one, like, year, know, time, get, may, make, also, last"
27,2,27_know_get_well_one,"know, get, well, one, like, also, need, time, think, use"
28,0,28_people_one_think_make,"people, one, think, make, say, like, know, time, get, well"
29,45,29_gun_one_get_people,"gun, one, get, people, use, say, handgun, time, way, make"
30,1,30_one_know_use_make,"one, know, use, make, also, time, get, like, people, well"
31,47,31_israeli_one_say_israel,"israeli, one, say, israel, people, like, jewish, think, way, time"
32,31,32_please_get_time_want,"please, get, time, want, thanks, know, letter, one, like, people"
33,16,33_know_people_get_treatment,"know, people, get, treatment, time, find, good, think, well, one"
34,1,34_one_make_think_people,"one, make, think, people, like, time, well, get, even, say"
35,21,35_use_window_like_get,"use, window, like, get, know, thanks, one, run, file, please"
36,17,36_price_sell_ship_one,"price, sell, ship, one, use, get, please, card, like, also"
37,2,37_chip_work_one_use,"chip, work, one, use, get, know, need, board, also, data"
38,10,38_one_know_also_get,"one, know, also, get, need, development, use, say, may, people"
39,0,39_god_one_jesus_say,"god, one, jesus, say, christ, know, believe, make, even, people"
40,7,40_car_like_use_one,"car, like, use, one, make, engine, new, think, get, know"
41,89,41_one_know_use_thanks,"one, know, use, thanks, get, like, well, please, good, year"
42,2,42_one_think_know_use,"one, think, know, use, like, also, say, well, get, time"
43,14,43_one_government_get_well,"one, government, get, well, time, also, like, house, congress, washington"
44,5,44_team_get_year_know,"team, get, year, know, game, good, think, time, say, first"
45,0,45_ship_price_use_monitor,"ship, price, use, monitor, one, please, card, work, know, sell"
46,10,46_people_one_make_think,"people, one, make, think, say, year, use, like, time, first"
47,32,47_orbit_mission_astronomy_year,"orbit, mission, astronomy, year, new, also, one, know, use, earth"
48,2,48_war_israeli_also_government,"war, israeli, also, government, like, one, get, think, time, make"
49,86,49_one_work_use_time,"one, work, use, time, well, like, thanks, software, know, get"
50,1,50_think_theory_know_say,"think, theory, know, say, one, way, make, perhaps, however, time"
51,15,51_one_also_like_well,"one, also, like, well, get, time, use, please, know, good"
52,0,52_know_one_year_guy,"know, one, year, guy, thanks, well, time, make, tom, say"
53,15,53_like_know_get_work,"like, know, get, work, use, one, thanks, think, sell, make"
54,9,54_make_know_one_say,"make, know, one, say, time, get, people, well, first, give"
55,1,55_like_use_one_know,"like, use, one, know, make, say, get, people, time, also"
56,9,56_one_like_make_think,"one, like, make, think, book, time, people, even, many, say"
57,0,57_use_like_get_work,"use, like, get, work, make, know, even, one, also, well"
58,2,58_get_like_use_one,"get, like, use, one, know, also, time, run, thanks, well"
59,3,59_problem_like_use_think,"problem, like, use, think, one, know, well, also, get, please"
60,13,60_know_one_get_use,"know, one, get, use, people, also, say, skin, well, need"
61,17,61_homosexual_gay_sexual_people,"homosexual, gay, sexual, people, one, sex, make, say, use, post"
62,7,62_get_time_think_people,"get, time, think, people, good, like, want, know, say, well"
